Prompt,Expected Intent,Category
"swap 0.5 USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","direct"
"please swap 0.5 USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","polite"
"I want to swap 0.5 USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","conversational"
"Can you swap 0.5 USDC for EURC on sepolia?","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","question"
"I'd like to switch 0.5 USDC for EURC on sepolia network please","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","synonyms"
"exchange my USDC for EURC on sepolia, specifically 0.5 USDC","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","reordered"
"USDC → EURC, 0.5 token, sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","symbols"
"can you please help me swap 0.5 USDC to get some EURC on the sepolia network?","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","verbose"
"sepolia: swap(USDC, EURC, 0.5)","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","technical"
"Need EURC instead of my USDC on sepolia - just 0.5 token","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","implicit"

"transfer 0.5 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","direct"
"please transfer 0.5 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","polite"
"I want to transfer 0.5 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","conversational"
"Can you transfer 0.5 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia?","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","question"
"I'd like to send 0.5 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia please","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","synonyms"
"to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia, send 0.5 USDC","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","reordered"
"0.5 USDC → 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E (sepolia)","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","symbols"
"could you kindly help me send some USDC, specifically 0.5 tokens, to the wallet address 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on the sepolia network?","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","verbose"
"sepolia: sendToken(USDC, 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E, 0.5)","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","technical"
"Pay 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E 0.5 USDC on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","implicit"

"remit 5 USD to EUR for my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","direct"
"please remit 5 USD to EUR for my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","polite"
"I want to remit 5 USD to EUR for my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","conversational"
"Can you remit 5 USD to EUR for my friend in Europe on sepolia?","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","question"
"I'd like to send a cross-border payment of 5 USD to EUR for my friend in Europe on sepolia please","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","synonyms"
"for my friend in Europe on sepolia, convert 5 USD to EUR","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","reordered"
"$5 → €XX, sepolia, to Europe","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","symbols"
"I need to help my friend in Europe by sending them some money, around 5 dollars converted to euros, can you process this international payment on the sepolia blockchain?","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","verbose"
"sepolia: remit(USD, EUR, 5, europe)","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","technical"
"Help my friend in Europe with 5 dollars on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","implicit"

"swap half a USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","spelled_number"
"transfer half a USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","spelled_number"
"remit five USD to EUR for my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","spelled_number"

"swap 0.55 USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.55, ""chain"": ""sepolia""}}","decimal_number"
"transfer 0.25 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.25, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","decimal_number"
"remit 5.50 USD to EUR for my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5.5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","decimal_number"

"I want to swap some USDC for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": null, ""chain"": ""sepolia""}}","missing_amount"
"transfer USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": null, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","missing_amount"
"remit USD to EUR for my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": null, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","missing_amount"

"swap 0.5 USDC for EURC","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": null}}","missing_chain"
"transfer 0.5 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": null, ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","missing_chain"
"remit 5 USD to EUR for my friend in Europe","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": null, ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","missing_chain"

"Give me all the USDC you have for EURC on sepolia","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": null, ""chain"": ""sepolia""}}","ambiguous_amount"
"Perform a transfer for a small amount of USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": null, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","ambiguous_amount"
"Send some dollars to my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": null, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","ambiguous_amount"

"Can you help me convert about 0.5 USDC to EURC on sepolia?","{ ""transaction_type"": ""swap"", ""response"": { ""fromAsset"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""toAsset"": ""0x6F2f88340B027Cc6b8a551912A30e957aC59cb8b"", ""amount"": 0.5, ""chain"": ""sepolia""}}","approximate_amount"
"Send approximately 0.5 USDC to 0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E on sepolia","{ ""transaction_type"": ""transfer"", ""response"": { ""token"": ""0x1c7D4B196Cb0C7B01d743Fbc6116a902379C7238"", ""amount"": 0.5, ""chain"": ""sepolia"", ""recipientAddress"": ""0x0AFD7486Ab71E9a52caA910606e7Fc9F250F786E"" }}","approximate_amount"
"Remit about 5 USD to EUR for my friend in Europe on sepolia","{ ""transaction_type"": ""remittance"", ""response"": { ""amount"": 5, ""chain"": ""sepolia"", ""recipient_address"": ""0x0000000000000000000000000000000000000000"" }}","approximate_amount" 